Kipper's Season 1,Roaring Moon,Tapu Fini,Hawlucha,Ogerpon-Hearthflame,Revavroom,Jolteon,Diggersby,Reuniclus,Froslass,Naclstack,
Brandon's Season 1,Great Tusk,Meowscarada,Cresselia,Iron Moth,Celesteela,Quaquaval,Xurkitree,Comfey,Ditto,Regigigas,
Brew's Season 1,Mew,Venusaur-Mega,Clefable,Zapdos,Gengar,Snorlax,Starmie,Tauros,Magneton,Sandslash,Lapras
Pivot's Season 2,Garchomp,Sneasler,Tangrowth,Tapu Koko,Samurott-Hisui,Iron Crown,Moltres,Polteageist,Komala,Cryogonal,Pyukumuku
Rifk's Season 2,Great Tusk,Roaring Moon,Corviknight,Diancie-Mega,Slowking-Galar,Alomomola,Rotom-Heat,Arboliva,Avalugg,Mismagius,
Omey's Season 2,Tornadus-Therian,Archaludon,Ferrothorn,Floatzel,Tapu Lele,Pelipper,Terapagos,Swampert-Mega,Electrode-Hisui,Qwilfish-Hisui,
Athy's Season 2,Zeraora,Rotom-Wash,Necrozma,Kartana,Lopunny-Mega,Mamoswine,Talonflame,Tinkaton,Whimsicott,Tatsugiri,Muk
Charles's Season 2,Gouging Fire,Landorus-Therian,Greninja,Alakazam-Mega,Rillaboom,Raikou,Comfey,Empoleon,Hitmonlee,Vigoroth,
Fenrir's Season 2,Iron Valiant,Ogerpon-Wellspring,Heatran,Noivern,Deoxys-Speed,Pecharunt,Krookodile,Cinccino,Vikavolt,Murkrow,
BDI's Season 2,Melmetal,Ogerpon-Cornerstone,Clefable,Slowbro,Zapdos,Weavile,Flygon,Banette-Mega,Emboar,Bellibolt,
Taco's Season 2,Walking Wake,Iron Moth,Torkoal,Medicham-Mega,Hatterene,Raging Bolt,Gliscor,Venusaur,Morpeko,Arbok,
Fimmy's Season 2,Dragapult,Tapu Lele,Clodsire,Samurott-Hisui,Infernape,Registeel,Glalie-Mega,Rotom-Mow,Swellow,Crustle,Luvdisc
Bald's Season 2,Gouging Fire,Keldeo,Sandaconda,Diancie-Mega,Skarmory,Slowking,Weavile,Rillaboom,Coalossal,Swalot,Charjabug
Kwad's Season 2,Landorus,Gholdengo,Slowbro,Zygarde-10%,Weezing-Galar,Talonflame,Flapple,Vikavolt,Tyranitar-Mega,Cobalion,Stoutland
Stormson's Season 2,Palafin,Rotom-Heat,Raging Bolt,Avalugg-Hisui,Meowscarada,Iron Treads,Grimmsnarl,Spidops,Gardevoir-Mega,Cryogonal,
Psy's Season 2,Great Tusk,Iron Boulder,Lokix,Tapu Koko,Iron Crown,Blastoise-Mega,Electrode-Hisui,Silvally,Moltres,Tsareena,Komala
Star's Season 2,Iron Bundle,Zeraora,Ogerpon-Hearthflame,Tapu Fini,Tornadus-Therian,Jirachi,Arboliva,Rhyperior,Leavanny,Trapinch,
Kern's Season 2,Mew,Arcanine-Hisui,Terapagos,Flygon,Greninja,Iron Hands,Tornadus,Tinkaton,Tapu Bulu,Beedrill-Mega,Spiritomb
Fae's Season 2,Sneasler,Gliscor,Ogerpon-Wellspring,Fezandipiti,Skeledirge,Sableye-Mega,Corviknight,Amoonguss,Alomomola,Furfrou,
Superpancho's Season 2,Sneasler,Rotom,Melmetal,Brute Bonnet,Tapu Fini,Meloetta,Haxorus,Gastrodon,Cryogonal,Accelgor,Arcanine-Hisui
Brandon's Season 2,Iron Bundle,Corviknight,Clefable,Alakazam-Mega,Sandy Shocks,Heatran,Ditto,Hitmontop,Zoroark,Regigigas,
Strick's Season 2,Slowking-Galar,Tapu Koko,Kyurem,Sinistcha,Cyclizar,Krookodile,Empoleon,Iron Hands,Moltres,Delibird,Magcargo
Alon's Season 2,Darkrai,Ninetales-Alola,Iron Treads,Annihilape,Tapu Bulu,Nihilego,Vikavolt,Drifblim,Farigiraf,Blastoise-Mega,
Chugaroo's Season 2,Baxcalibur,Urshifu-Rapid,Metagross,Fezandipiti,Entei,Scream Tail,Thundurus,Arboliva,Starmie,Overqwil,Eelektrik
Mario's Season 2,Dragapult,Tapu Lele,Silvally,Lopunny-Mega,Ogerpon-Wellspring,Glimmora,Zapdos,Regirock,Tinkaton,Cottonee,
Panda's Season 2,Iron Valiant,Terapagos,Hydreigon,Mawile-Mega,Iron Boulder,Mandibuzz,Pecharunt,Electrode-Hisui,Rotom-Frost,Feraligatr,
Kay's Season 2,Gouging Fire,Slowbro,Tangrowth,Houndoom-Mega,Torkoal,Salazzle,Gliscor,Walking Wake,Raikou,Bidoof,Shiftry
Stee's Season 2,Ursaluna,Zeraora,Ferrothorn,Scream Tail,Cinderace,Alakazam-Mega,Decidueye,Mudsdale,Kangaskhan,Oinkologne-Male,Golem-Alola
Rappy's Season 2,Melmetal,Latios,Tapu Fini,Venusaur-Mega,Ogerpon-Hearthflame,Sandy Shocks,Mandibuzz,Drifblim,Tauros-Paldea,Appletun,
SomerandomMinecrafter's Season 2,Kyurem,Corviknight,Urshifu-Rapid,Jolteon,Ninetales-Alola,Ogerpon-Teal-Mask,Entei,Golem,Ting-Lu,Flygon,
